agent,episode,steps
dynaq+,706,126
dynaq,707,41
dynaq+,707,42
dynaq,708,41
dynaq+,708,282
dynaq,709,37
dynaq+,709,173
dynaq,710,41
dynaq+,710,118
dynaq,711,64
dynaq+,711,50
dynaq,712,39
dynaq+,712,46
dynaq,713,39
dynaq+,713,140
dynaq,714,37
dynaq+,714,80
dynaq,715,46
dynaq+,715,40
dynaq,716,44
dynaq+,716,3325
dynaq,717,39
dynaq+,717,49
dynaq,718,41
dynaq+,718,45
dynaq,719,42
dynaq+,719,104
dynaq,720,44
dynaq+,720,43
dynaq,721,39
dynaq+,721,53
dynaq,722,41
dynaq+,722,37
dynaq,723,42
dynaq+,723,48
dynaq,724,49
dynaq+,724,733
dynaq,725,45
dynaq+,725,78
dynaq,726,40
dynaq+,726,37
dynaq,727,47
dynaq+,727,2724
dynaq,728,44
dynaq+,728,39
dynaq,729,104
dynaq+,729,43
dynaq,730,40
dynaq+,730,43
dynaq,731,42
dynaq+,731,38
dynaq,732,891
dynaq+,732,53
dynaq,733,41
dynaq+,733,43
dynaq,734,205
dynaq+,734,62
dynaq,735,44
dynaq+,735,46
dynaq,736,1091
dynaq+,736,43
dynaq,737,37
dynaq+,737,42
dynaq,738,40
dynaq+,738,42
dynaq,739,45
dynaq+,739,37
dynaq,740,50
dynaq+,740,187
dynaq,741,44
dynaq+,741,64
dynaq,742,37
dynaq+,742,42
dynaq,743,40
dynaq+,743,52
dynaq,744,38
dynaq+,744,161
dynaq,745,45
dynaq+,745,48
dynaq,746,39
dynaq+,746,133
dynaq,747,65
dynaq+,747,117
dynaq,748,55
dynaq+,748,63
dynaq,749,178
dynaq+,749,360
dynaq,750,45
dynaq+,750,42
dynaq,751,40
dynaq+,751,38
dynaq,752,38
dynaq+,752,125
dynaq,753,42
dynaq+,753,61
dynaq,754,42
dynaq+,754,41
dynaq,755,50
dynaq+,755,1182
dynaq,756,153
dynaq+,756,39
dynaq,757,42
dynaq+,757,42
dynaq,758,45
dynaq+,758,39
dynaq,759,41
dynaq+,759,40
dynaq,760,43
dynaq+,760,172
dynaq,761,44
dynaq+,761,131
dynaq,762,48
dynaq+,762,54
dynaq,763,45
dynaq+,763,37
dynaq,764,47
dynaq+,764,42
dynaq,765,38
dynaq+,765,43
dynaq,766,43
dynaq+,766,37
dynaq,767,37
dynaq+,767,1533
dynaq,768,39
dynaq+,768,38
dynaq,769,41
dynaq+,769,39
dynaq,770,105
dynaq+,770,39
dynaq,771,7882
dynaq+,771,41
dynaq,772,43
dynaq+,772,42
dynaq,773,44
dynaq+,773,111
dynaq,774,42
dynaq+,774,42
dynaq,775,45
dynaq+,775,117
dynaq,776,37
dynaq+,776,40
dynaq,777,40
dynaq+,777,42
dynaq,778,45
dynaq+,778,41
dynaq,779,38
dynaq+,779,42
dynaq,780,44
dynaq+,780,48
dynaq,781,43
dynaq+,781,45
dynaq,782,459
dynaq+,782,39
dynaq,783,39
dynaq+,783,49
dynaq,784,45
dynaq+,784,46
dynaq,785,37
dynaq+,785,39
dynaq,786,48
dynaq+,786,84
dynaq,787,39
dynaq+,787,58
dynaq,788,76
dynaq+,788,54
dynaq,789,38
dynaq+,789,42
dynaq,790,39
dynaq+,790,46
dynaq,791,60
dynaq+,791,38
dynaq,792,42
dynaq+,792,111
dynaq,793,51
dynaq+,793,49
dynaq,794,39
dynaq+,794,1611
dynaq,795,42
dynaq+,795,41
dynaq,796,43
dynaq+,796,41
dynaq,797,43
dynaq+,797,39
dynaq,798,47
dynaq+,798,40
dynaq,799,44
dynaq+,799,39
dynaq,800,42
dynaq+,800,42
dynaq,801,37
dynaq+,801,51
dynaq,802,41
dynaq+,802,53
dynaq,803,40
dynaq+,803,44
dynaq,804,1157
dynaq+,804,41
dynaq,805,40
dynaq+,805,50
dynaq,806,45
dynaq+,806,40
dynaq,807,42
dynaq+,807,44
dynaq,808,46
dynaq+,808,37
dynaq,809,41
dynaq+,809,37
dynaq,810,79
dynaq+,810,42
dynaq,811,98
dynaq+,811,3092
dynaq,812,41
dynaq+,812,47
dynaq,813,41
dynaq+,813,40
dynaq,814,46
dynaq+,814,42
dynaq,815,40
dynaq+,815,39
dynaq,816,44
dynaq+,816,43
dynaq,817,43
dynaq+,817,59
dynaq,818,124
dynaq+,818,41
dynaq,819,38
dynaq+,819,39
dynaq,820,48
dynaq+,820,45
dynaq,821,39
dynaq+,821,44
dynaq,822,49
dynaq+,822,59
dynaq,823,42
dynaq+,823,44
dynaq,824,40
dynaq+,824,43
dynaq,825,48
dynaq+,825,44
dynaq,826,38
dynaq+,826,37
dynaq,827,42
dynaq+,827,39
dynaq,828,39
dynaq+,828,39
dynaq,829,38
dynaq+,829,61
dynaq,830,39
dynaq+,830,1254
dynaq,831,39
dynaq+,831,39
dynaq,832,52
dynaq+,832,37
dynaq,833,46
dynaq+,833,43
dynaq,834,39
dynaq+,834,40
dynaq,835,57
dynaq+,835,44
dynaq,836,43
dynaq+,836,38
dynaq,837,40
dynaq+,837,251
dynaq,838,37
dynaq+,838,43
dynaq,839,39
dynaq+,839,42
dynaq,840,44
dynaq+,840,3620
dynaq,841,40
dynaq+,841,47
dynaq,842,43
dynaq+,842,65
dynaq,843,45
dynaq+,843,43
dynaq,844,38
dynaq+,844,104
dynaq,845,43
dynaq+,845,40
dynaq,846,42
dynaq+,846,42
dynaq,847,38
dynaq+,847,45
dynaq,848,38
dynaq+,848,47
dynaq,849,40
dynaq+,849,43
dynaq,850,463
dynaq+,850,39
dynaq,851,43
dynaq+,851,38
dynaq,852,40
dynaq+,852,115
dynaq,853,42
dynaq+,853,38
dynaq,854,41
dynaq+,854,43
dynaq,855,41
dynaq+,855,58
dynaq,856,38
dynaq+,856,39
dynaq,857,43
dynaq+,857,44
dynaq,858,41
dynaq+,858,37
dynaq,859,71
dynaq+,859,77
dynaq,860,41
dynaq+,860,41
dynaq,861,44
dynaq+,861,39
dynaq,862,42
dynaq+,862,93
dynaq,863,38
dynaq+,863,46
dynaq,864,45
dynaq+,864,126
dynaq,865,42
dynaq+,865,40
dynaq,866,2768
dynaq+,866,48
dynaq,867,37
dynaq+,867,45
dynaq,868,43
dynaq+,868,37
dynaq,869,42
dynaq+,869,124
dynaq,870,38
dynaq+,870,54
dynaq,871,37
dynaq+,871,42
dynaq,872,44
dynaq+,872,38
dynaq,873,134
dynaq+,873,45
dynaq,874,40
dynaq+,874,44
dynaq,875,39
dynaq+,875,42
dynaq,876,39
dynaq+,876,48
dynaq,877,41
dynaq+,877,40
dynaq,878,45
dynaq+,878,47
dynaq,879,38
dynaq+,879,46
dynaq,880,39
dynaq+,880,39
dynaq,881,40
dynaq+,881,43
dynaq,882,41
dynaq+,882,38
dynaq,883,43
dynaq+,883,42
dynaq,884,38
dynaq+,884,40
dynaq,885,38
dynaq+,885,43
dynaq,886,39
dynaq+,886,45
dynaq,887,57
dynaq+,887,78
dynaq,888,40
dynaq+,888,44
dynaq,889,41
dynaq+,889,38
dynaq,890,41
dynaq+,890,39
dynaq,891,3997
dynaq+,891,45
dynaq,892,40
dynaq+,892,57
dynaq,893,39
dynaq+,893,41
dynaq,894,48
dynaq+,894,42
dynaq,895,41
dynaq+,895,79
dynaq,896,38
dynaq+,896,44
dynaq,897,310
dynaq+,897,43
dynaq,898,37
dynaq+,898,39
dynaq,899,43
dynaq+,899,39
dynaq,900,40
dynaq+,900,40
dynaq,901,44
dynaq+,901,37
dynaq,902,43
dynaq+,902,40
dynaq,903,51
dynaq+,903,40
dynaq,904,40
dynaq+,904,38
dynaq,905,40
dynaq+,905,47
dynaq,906,45
dynaq+,906,45
dynaq,907,39
dynaq+,907,38
dynaq,908,37
dynaq+,908,43
dynaq,909,50
dynaq+,909,49
dynaq,910,44
dynaq+,910,38
dynaq,911,48
dynaq+,911,43
dynaq,912,44
dynaq+,912,45
dynaq,913,48
dynaq+,913,41
dynaq,914,37
dynaq+,914,41
dynaq,915,37
dynaq+,915,43
dynaq,916,40
dynaq+,916,37
dynaq,917,38
dynaq+,917,45
dynaq,918,46
dynaq+,918,41
dynaq,919,65
dynaq+,919,39
dynaq,920,49
dynaq+,920,47
dynaq,921,40
dynaq+,921,42
dynaq,922,66
dynaq+,922,41
dynaq,923,44
dynaq+,923,44
dynaq,924,38
dynaq+,924,44
dynaq,925,46
dynaq+,925,38
dynaq,926,40
dynaq+,926,37
dynaq,927,40
dynaq+,927,40
dynaq,928,42
dynaq+,928,40
dynaq,929,45
dynaq+,929,157
dynaq,930,42
dynaq+,930,45
dynaq,931,42
dynaq+,931,40
dynaq,932,64
dynaq+,932,39
dynaq,933,40
dynaq+,933,42
dynaq,934,40
dynaq+,934,76
dynaq,935,42
dynaq+,935,41
dynaq,936,37
dynaq+,936,53
dynaq,937,51
dynaq+,937,38
dynaq,938,39
dynaq+,938,39
dynaq,939,42
dynaq+,939,38
dynaq,940,38
dynaq+,940,39
dynaq,941,50
dynaq+,941,42
dynaq,942,42
dynaq+,942,45
dynaq,943,42
dynaq+,943,43
dynaq,944,46
dynaq+,944,41
dynaq,945,40
dynaq+,945,41
dynaq,946,43
dynaq+,946,45
dynaq,947,42
dynaq+,947,37
dynaq,948,48
dynaq+,948,41
dynaq,949,42
dynaq+,949,47
dynaq,950,247
dynaq+,950,46
dynaq,951,39
dynaq+,951,42
dynaq,952,40
dynaq+,952,40
dynaq,953,40
dynaq+,953,42
dynaq,954,42
dynaq+,954,2482
dynaq,955,40
dynaq+,955,45
dynaq,956,38
dynaq+,956,40
dynaq,957,47
dynaq+,957,40
dynaq,958,39
dynaq+,958,51
dynaq,959,39
dynaq+,959,44
dynaq,960,44
dynaq+,960,49
dynaq,961,39
dynaq+,961,41
dynaq,962,43
dynaq+,962,39
dynaq,963,41
dynaq+,963,45
dynaq,964,42
dynaq+,964,39
dynaq,965,1243
dynaq+,965,38
dynaq,966,45
dynaq+,966,38
dynaq,967,42
dynaq+,967,42
dynaq,968,40
dynaq+,968,48
dynaq,969,333
dynaq+,969,39
dynaq,970,40
dynaq+,970,41
dynaq,971,47
dynaq+,971,41
dynaq,972,42
dynaq+,972,40
dynaq,973,44
dynaq+,973,44
dynaq,974,39
dynaq+,974,48
dynaq,975,41
dynaq+,975,43
dynaq,976,42
dynaq+,976,40
dynaq,977,46
dynaq+,977,45
dynaq,978,49
dynaq+,978,44
dynaq,979,43
dynaq+,979,37
dynaq,980,45
dynaq+,980,40
dynaq,981,42
dynaq+,981,40
dynaq,982,37
dynaq+,982,50
dynaq,983,43
dynaq+,983,51
dynaq,984,39
dynaq+,984,797
dynaq,985,42
dynaq+,985,39
dynaq,986,56
dynaq+,986,37
dynaq,987,38
dynaq+,987,48
dynaq,988,43
dynaq+,988,46
dynaq,989,43
dynaq+,989,43
dynaq,990,46
dynaq+,990,44
dynaq,991,37
dynaq+,991,128
dynaq,992,50
dynaq+,992,42
dynaq,993,40
dynaq+,993,48
dynaq,994,46
dynaq+,994,40
dynaq,995,45
dynaq+,995,39
dynaq,996,40
dynaq+,996,44
dynaq,997,55
dynaq+,997,41
dynaq,998,37
dynaq+,998,54
dynaq,999,42
dynaq+,999,42
dynaq,1000,38
dynaq+,1000,39
dynaq,1001,40
dynaq+,1001,45
dynaq,1002,39
dynaq+,1002,47
dynaq,1003,41
dynaq+,1003,44
dynaq,1004,39
dynaq+,1004,42
dynaq,1005,46
dynaq+,1005,42
dynaq,1006,43
dynaq+,1006,48
dynaq,1007,39
dynaq+,1007,39
dynaq,1008,38
dynaq+,1008,40
dynaq,1009,39
dynaq+,1009,142
dynaq,1010,40
dynaq+,1010,45
dynaq,1011,53
dynaq+,1011,40
dynaq,1012,41
dynaq+,1012,42
dynaq,1013,38
dynaq+,1013,43
dynaq,1014,40
dynaq+,1014,56
dynaq,1015,41
dynaq+,1015,45
dynaq,1016,44
dynaq+,1016,39
dynaq,1017,50
dynaq+,1017,44
dynaq,1018,43
dynaq+,1018,86
dynaq,1019,39
dynaq+,1019,39
dynaq,1020,42
dynaq+,1020,52
dynaq,1021,39
dynaq+,1021,49
dynaq,1022,41
dynaq+,1022,49
dynaq,1023,41
dynaq+,1023,43
dynaq,1024,41
dynaq+,1024,41
dynaq,1025,37
dynaq+,1025,40
dynaq,1026,39
dynaq+,1026,125
dynaq,1027,39
dynaq+,1027,48
dynaq,1028,40
dynaq+,1028,50
dynaq,1029,39
dynaq+,1029,39
dynaq,1030,43
dynaq+,1030,992
dynaq,1031,39
dynaq+,1031,42
dynaq,1032,53
dynaq+,1032,59
dynaq,1033,40
dynaq+,1033,39
dynaq,1034,41
dynaq+,1034,43
dynaq,1035,45
dynaq+,1035,38
dynaq,1036,44
dynaq+,1036,42
dynaq,1037,39
dynaq+,1037,39
dynaq,1038,46
dynaq+,1038,40
dynaq,1039,40
dynaq+,1039,42
dynaq,1040,49
dynaq+,1040,53
dynaq,1041,40
dynaq+,1041,38
dynaq,1042,47
dynaq+,1042,40
dynaq,1043,44
dynaq+,1043,44
dynaq,1044,43
dynaq+,1044,45
dynaq,1045,47
dynaq+,1045,39
dynaq,1046,39
dynaq+,1046,43
dynaq,1047,238
dynaq+,1047,232
dynaq,1048,40
dynaq+,1048,166
dynaq,1049,44
dynaq+,1049,42
dynaq,1050,39
dynaq+,1050,41
dynaq,1051,47
dynaq+,1051,47
dynaq,1052,42
dynaq+,1052,37
dynaq,1053,42
dynaq+,1053,42
dynaq,1054,41
dynaq+,1054,42
dynaq,1055,42
dynaq+,1055,42
dynaq,1056,44
dynaq+,1056,42
dynaq,1057,41
dynaq+,1057,40
dynaq,1058,42
dynaq+,1058,41
dynaq,1059,37
dynaq+,1059,40
dynaq,1060,39
dynaq+,1060,52
dynaq,1061,44
dynaq+,1061,40
dynaq,1062,45
dynaq+,1062,44
dynaq,1063,40
dynaq+,1063,42
dynaq,1064,41
dynaq+,1064,48
dynaq,1065,39
dynaq+,1065,44
dynaq,1066,41
dynaq+,1066,254
dynaq,1067,41
dynaq+,1067,44
dynaq,1068,40
dynaq+,1068,41
dynaq,1069,38
dynaq+,1069,105
dynaq,1070,44
dynaq+,1070,42
dynaq,1071,43
dynaq+,1071,120
dynaq,1072,38
dynaq+,1072,37
dynaq,1073,41
dynaq+,1073,40
dynaq,1074,38
dynaq+,1074,40
dynaq,1075,92
dynaq+,1075,41
dynaq,1076,44
dynaq+,1076,43
dynaq,1077,43
dynaq+,1077,58
dynaq,1078,39
dynaq+,1078,49
dynaq,1079,42
dynaq+,1079,39
dynaq,1080,40
dynaq+,1080,40
dynaq,1081,46
dynaq+,1081,39
dynaq,1082,44
dynaq+,1082,39
dynaq,1083,38
dynaq+,1083,42
dynaq,1084,43
dynaq+,1084,50
dynaq,1085,42
dynaq+,1085,44
dynaq,1086,38
dynaq+,1086,39
dynaq,1087,40
dynaq+,1087,38
dynaq,1088,40
dynaq+,1088,42
dynaq,1089,46
dynaq+,1089,42
dynaq,1090,39
dynaq+,1090,41
dynaq,1091,41
dynaq+,1091,39
dynaq,1092,202
dynaq+,1092,43
dynaq,1093,38
dynaq+,1093,47
dynaq,1094,51
dynaq+,1094,47
dynaq,1095,41
dynaq+,1095,38
dynaq,1096,41
dynaq+,1096,39
dynaq,1097,41
dynaq+,1097,58
dynaq,1098,45
dynaq+,1098,44
dynaq,1099,44
dynaq+,1099,40
dynaq,1100,43
dynaq+,1100,49
dynaq,1101,39
dynaq+,1101,41
dynaq,1102,43
dynaq+,1102,38
dynaq,1103,41
dynaq+,1103,39
dynaq,1104,40
dynaq+,1104,39
dynaq,1105,37
dynaq+,1105,225
dynaq,1106,37
dynaq+,1106,42
dynaq,1107,43
dynaq+,1107,40
dynaq,1108,41
dynaq+,1108,41
dynaq,1109,40
dynaq+,1109,39
dynaq,1110,40
dynaq+,1110,37
dynaq,1111,89
dynaq+,1111,40
dynaq,1112,38
dynaq+,1112,39
dynaq,1113,40
dynaq+,1113,41
dynaq,1114,39
dynaq+,1114,46
dynaq,1115,42
dynaq+,1115,42
dynaq,1116,41
dynaq+,1116,102
dynaq,1117,42
dynaq+,1117,43
dynaq,1118,39
dynaq+,1118,45
dynaq,1119,42
dynaq+,1119,42
dynaq,1120,40
dynaq+,1120,42
dynaq,1121,44
dynaq+,1121,44
dynaq,1122,40
dynaq+,1122,40
dynaq,1123,39
dynaq+,1123,42
dynaq,1124,37
dynaq+,1124,46
dynaq,1125,40
dynaq+,1125,42
dynaq,1126,43
dynaq+,1126,42
dynaq,1127,45
dynaq+,1127,43
dynaq,1128,38
dynaq+,1128,38
dynaq,1129,40
dynaq+,1129,40
dynaq,1130,42
dynaq+,1130,41
dynaq,1131,42
dynaq+,1131,45
dynaq,1132,43
dynaq+,1132,122
dynaq,1133,39
dynaq+,1133,43
dynaq,1134,39
dynaq+,1134,39
dynaq,1135,38
dynaq+,1135,43
dynaq,1136,42
dynaq+,1136,43
dynaq,1137,5581
dynaq+,1137,62
dynaq,1138,40
dynaq+,1138,52
dynaq,1139,40
dynaq+,1139,148
dynaq,1140,40
dynaq+,1140,50
dynaq,1141,40
dynaq+,1141,151
dynaq,1142,49
dynaq+,1142,44
dynaq,1143,44
dynaq+,1143,50
dynaq,1144,42
dynaq+,1144,45
dynaq,1145,38
dynaq+,1145,38
dynaq,1146,8091
dynaq+,1146,42
dynaq,1147,42
dynaq+,1147,46
dynaq,1148,54
dynaq+,1148,39
dynaq,1149,69
dynaq+,1149,66
dynaq,1150,42
dynaq+,1150,40
dynaq,1151,42
dynaq+,1151,41
dynaq,1152,40
dynaq+,1152,44
dynaq,1153,43
dynaq+,1153,46
dynaq,1154,42
dynaq+,1154,40
dynaq,1155,39
dynaq+,1155,43
dynaq,1156,2997
dynaq+,1156,38
dynaq,1157,41
dynaq+,1157,38
dynaq,1158,43
dynaq+,1158,38
dynaq,1159,41
dynaq+,1159,49
dynaq,1160,42
dynaq+,1160,38
dynaq,1161,42
dynaq+,1161,39
dynaq,1162,43
dynaq+,1162,41
dynaq,1163,41
dynaq+,1163,38
dynaq,1164,41
dynaq+,1164,43
dynaq,1165,39
dynaq+,1165,44
dynaq,1166,41
dynaq+,1166,47
dynaq,1167,38
dynaq+,1167,38
dynaq,1168,38
dynaq+,1168,48
dynaq,1169,42
dynaq+,1169,38
dynaq,1170,63
dynaq+,1170,40
dynaq,1171,41
dynaq+,1171,41
dynaq,1172,40
dynaq+,1172,43
dynaq,1173,39
dynaq+,1173,52
dynaq,1174,41
dynaq+,1174,43
dynaq,1175,693
dynaq+,1175,37
dynaq,1176,47
dynaq+,1176,41
dynaq,1177,41
dynaq+,1177,38
dynaq,1178,40
dynaq+,1178,38
dynaq,1179,41
dynaq+,1179,68
dynaq,1180,41
dynaq+,1180,39
dynaq,1181,39
dynaq+,1181,42
dynaq,1182,41
dynaq+,1182,40
dynaq,1183,40
dynaq+,1183,39
dynaq,1184,51
dynaq+,1184,38
dynaq,1185,43
dynaq+,1185,39
dynaq,1186,40
dynaq+,1186,40
dynaq,1187,46
dynaq+,1187,59
dynaq,1188,45
dynaq+,1188,43
dynaq,1189,38
dynaq+,1189,43
dynaq,1190,41
dynaq+,1190,39
dynaq,1191,37
dynaq+,1191,40
dynaq,1192,39
dynaq+,1192,42
dynaq,1193,44
dynaq+,1193,40
dynaq,1194,39
dynaq+,1194,42
dynaq,1195,43
dynaq+,1195,37
dynaq,1196,43
dynaq+,1196,39
dynaq,1197,49
dynaq+,1197,39
dynaq,1198,43
dynaq+,1198,40
dynaq,1199,45
dynaq+,1199,39
dynaq,1200,39
dynaq+,1200,43
dynaq,1201,42
dynaq+,1201,41
dynaq,1202,37
dynaq+,1202,54
dynaq,1203,39
dynaq+,1203,37
dynaq,1204,44
dynaq+,1204,41
dynaq,1205,40
dynaq+,1205,39
dynaq,1206,45
dynaq+,1206,52
dynaq,1207,45
dynaq+,1207,42
dynaq,1208,44
dynaq+,1208,46
dynaq,1209,39
dynaq+,1209,41
dynaq,1210,57
dynaq+,1210,44
dynaq,1211,37
dynaq+,1211,38
dynaq,1212,48
dynaq+,1212,40
dynaq,1213,44
dynaq+,1213,40
dynaq,1214,40
dynaq+,1214,41
dynaq,1215,45
dynaq+,1215,39
dynaq,1216,39
dynaq+,1216,41
dynaq,1217,44
dynaq+,1217,37
dynaq,1218,41
dynaq+,1218,41
dynaq,1219,43
dynaq+,1219,40
dynaq,1220,42
dynaq+,1220,39
dynaq,1221,49
dynaq+,1221,43
dynaq,1222,51
dynaq+,1222,115
dynaq,1223,40
dynaq+,1223,45
dynaq,1224,39
dynaq+,1224,1901
dynaq,1225,38
dynaq+,1225,40
dynaq,1226,40
dynaq+,1226,39
dynaq,1227,42
dynaq+,1227,44
dynaq,1228,41
dynaq+,1228,42
dynaq,1229,43
dynaq+,1229,38
dynaq,1230,43
dynaq+,1230,41
dynaq,1231,40
dynaq+,1231,43
dynaq,1232,38
dynaq+,1232,39
dynaq,1233,43
dynaq+,1233,42
dynaq,1234,42
dynaq+,1234,37
dynaq,1235,38
dynaq+,1235,40
dynaq,1236,47
dynaq+,1236,48
dynaq,1237,37
dynaq+,1237,41
dynaq,1238,41
dynaq+,1238,46
dynaq,1239,45
dynaq+,1239,41
dynaq,1240,37
dynaq+,1240,39
dynaq,1241,41
dynaq+,1241,39
dynaq,1242,51
dynaq+,1242,46
dynaq,1243,40
dynaq+,1243,38
dynaq,1244,41
dynaq+,1244,45
dynaq,1245,40
dynaq+,1245,45
dynaq,1246,38
dynaq+,1246,40
dynaq,1247,40
dynaq+,1247,40
dynaq,1248,43
dynaq+,1248,43
dynaq,1249,39
dynaq+,1249,40
dynaq,1250,52
dynaq+,1250,42
dynaq,1251,48
dynaq+,1251,40
dynaq,1252,41
dynaq+,1252,37
dynaq,1253,41
dynaq+,1253,39
dynaq,1254,44
dynaq+,1254,48
dynaq,1255,42
dynaq+,1255,38
dynaq,1256,38
dynaq+,1256,40
dynaq,1257,46
dynaq+,1257,48
dynaq,1258,41
dynaq+,1258,41
dynaq,1259,43
dynaq+,1259,42
dynaq,1260,39
dynaq+,1260,40
dynaq,1261,46
dynaq+,1261,37
dynaq,1262,42
dynaq+,1262,39
dynaq,1263,39
dynaq+,1263,45
dynaq,1264,43
dynaq+,1264,38
dynaq,1265,42
dynaq+,1265,41
dynaq,1266,41
dynaq+,1266,40
dynaq,1267,39
dynaq+,1267,43
dynaq,1268,364
dynaq+,1268,41
dynaq,1269,42
dynaq+,1269,46
dynaq,1270,42
dynaq+,1270,39
dynaq,1271,39
dynaq+,1271,42
dynaq,1272,4595
dynaq+,1272,44
dynaq,1273,40
dynaq+,1273,38
dynaq,1274,43
dynaq+,1274,44
dynaq,1275,39
dynaq+,1275,43
dynaq,1276,41
dynaq+,1276,45
dynaq,1277,39
dynaq+,1277,48
dynaq,1278,37
dynaq+,1278,76
dynaq,1279,38
dynaq+,1279,41
dynaq,1280,39
dynaq+,1280,42
dynaq,1281,40
dynaq+,1281,42
dynaq,1282,42
dynaq+,1282,44
dynaq,1283,40
dynaq+,1283,43
dynaq,1284,46
dynaq+,1284,43
dynaq,1285,37
dynaq+,1285,41
dynaq,1286,42
dynaq+,1286,39
dynaq,1287,39
dynaq+,1287,43
dynaq,1288,71
dynaq+,1288,60
dynaq,1289,39
dynaq+,1289,39
dynaq,1290,42
dynaq+,1290,48
dynaq,1291,48
dynaq+,1291,48
dynaq,1292,82
dynaq+,1292,40
dynaq,1293,41
dynaq+,1293,45
dynaq,1294,39
dynaq+,1294,37
dynaq,1295,2807
dynaq+,1295,38
dynaq,1296,52
dynaq+,1296,49
dynaq,1297,40
dynaq+,1297,38
dynaq,1298,42
dynaq+,1298,37
dynaq,1299,381
dynaq+,1299,42
dynaq,1300,44
dynaq+,1300,40
dynaq,1301,37
dynaq+,1301,40
dynaq,1302,41
dynaq+,1302,46
dynaq,1303,40
dynaq+,1303,44
dynaq,1304,37
dynaq+,1304,39
dynaq,1305,74
dynaq+,1305,38
dynaq,1306,43
dynaq+,1306,52
dynaq,1307,43
dynaq+,1307,40
dynaq,1308,37
dynaq+,1308,37
dynaq,1309,46
dynaq+,1309,50
dynaq,1310,45
dynaq+,1310,44
dynaq,1311,48
dynaq+,1311,45
dynaq,1312,40
dynaq+,1312,44
dynaq,1313,38
dynaq+,1313,41
dynaq,1314,38
dynaq+,1314,40
dynaq,1315,44
dynaq+,1315,39
dynaq,1316,43
dynaq+,1316,39
dynaq,1317,38
dynaq+,1317,43
dynaq,1318,40
dynaq+,1318,37
dynaq,1319,46
dynaq+,1319,43
dynaq,1320,41
dynaq+,1320,45
dynaq,1321,45
dynaq+,1321,39
dynaq,1322,52
dynaq+,1322,46
dynaq,1323,43
dynaq+,1323,38
dynaq,1324,40
dynaq+,1324,39
dynaq,1325,41
dynaq+,1325,43
dynaq,1326,46
dynaq+,1326,41
dynaq,1327,41
dynaq+,1327,50
dynaq,1328,37
dynaq+,1328,42
dynaq,1329,40
dynaq+,1329,37
dynaq,1330,43
dynaq+,1330,41
dynaq,1331,42
dynaq+,1331,37
dynaq,1332,40
dynaq+,1332,39
dynaq,1333,37
dynaq+,1333,39
dynaq,1334,43
dynaq+,1334,38
dynaq,1335,49
dynaq+,1335,46
dynaq,1336,42
dynaq+,1336,40
dynaq,1337,61
dynaq+,1337,46
dynaq,1338,39
dynaq+,1338,46
dynaq,1339,43
dynaq+,1339,40
dynaq,1340,43
dynaq+,1340,40
dynaq,1341,46
dynaq+,1341,37
dynaq,1342,41
dynaq+,1342,41
dynaq,1343,44
dynaq+,1343,38
dynaq,1344,40
dynaq+,1344,37
dynaq,1345,49
dynaq+,1345,38
dynaq,1346,38
dynaq+,1346,41
dynaq,1347,41
dynaq+,1347,39
dynaq,1348,40
dynaq+,1348,45
dynaq,1349,42
dynaq+,1349,42
dynaq,1350,45
dynaq+,1350,45
dynaq,1351,44
dynaq+,1351,77
dynaq,1352,41
dynaq+,1352,44
dynaq,1353,37
dynaq+,1353,40
dynaq,1354,87
dynaq+,1354,38
dynaq,1355,37
dynaq+,1355,40
dynaq,1356,41
dynaq+,1356,46
dynaq,1357,38
dynaq+,1357,39
dynaq,1358,40
dynaq+,1358,44
dynaq,1359,41
dynaq+,1359,39
dynaq,1360,38
dynaq+,1360,47
dynaq,1361,47
dynaq+,1361,47
dynaq,1362,45
dynaq+,1362,119
dynaq,1363,39
dynaq+,1363,39
dynaq,1364,39
dynaq+,1364,51
dynaq,1365,42
dynaq+,1365,41
dynaq,1366,40
dynaq+,1366,41
dynaq,1367,40
dynaq+,1367,39
dynaq,1368,115
dynaq+,1368,41
dynaq,1369,37
dynaq+,1369,41
dynaq,1370,48
dynaq+,1370,40
dynaq,1371,45
dynaq+,1371,561
dynaq,1372,47
dynaq+,1372,41
dynaq,1373,42
dynaq+,1373,42
dynaq,1374,40
dynaq+,1374,41
dynaq,1375,40
dynaq+,1375,46
dynaq,1376,40
dynaq+,1376,40
dynaq,1377,40
dynaq+,1377,41
dynaq,1378,49
dynaq+,1378,39
dynaq,1379,45
dynaq+,1379,58
dynaq,1380,40
dynaq+,1380,41
dynaq,1381,40
dynaq+,1381,40
dynaq,1382,39
dynaq+,1382,43
dynaq,1383,38
dynaq+,1383,41
dynaq,1384,44
dynaq+,1384,46
dynaq,1385,38
dynaq+,1385,41
dynaq,1386,41
dynaq+,1386,41
dynaq,1387,47
dynaq+,1387,43
dynaq,1388,44
dynaq+,1388,39
dynaq,1389,44
dynaq+,1389,43
dynaq,1390,38
dynaq+,1390,45
dynaq,1391,47
dynaq+,1391,46
dynaq,1392,43
dynaq+,1392,43
dynaq,1393,46
dynaq+,1393,39
dynaq,1394,43
dynaq+,1394,253
dynaq,1395,49
dynaq+,1395,44
dynaq,1396,43
dynaq+,1396,54
dynaq,1397,38
dynaq+,1397,44
dynaq,1398,54
dynaq+,1398,41
dynaq,1399,41
